region,location,num_of_rooms,size,fee,final_price,initial_price,year_built,mgmt_cost
Solna,VästraSkogen,3,56,2899,3600000,3195000,2017,5720
Stockholm,Södermalm,2,35.2,2117,3540000,2995000,1939,2200
Stockholm,Östermalm,2,52,2965,4470000,3575000,1937,5500
Nacka,Skogalundsklippan,3.5,69,4403,2770000,2595000,1984,5760
Stockholm,Vasastan,2,35,987,3900000,3295000,1905,4800
Sollentuna,Sollentuna,3,73,4134,2300000,2295000,1970,4800
Sundbyberg,CentralaSundbyberg,3,60,3273,3325000,2895000,1947,6588
Stockholm,Vasastan,1.5,36,1534,3550000,3150000,1971,5500
Stockholm,Bagarmossen,1,32,2350,2110000,1695000,2016,5500
Stockholm,HornsbergsStrand,3,74,3648,6150000,5995000,2012,5500
Solna,Solna,3,75.5,3768,3500000,3500000,1962,4500
Nacka,Strandparksområdet,4,91,5795,2250000,2295000,1967,2604
Stockholm,Telefonplan,2,43.7,2800,2610000,1995000,1967,8472
Stockholm,Kungsholmen,2,45,2518,3300000,2995000,1992,8472
Stockholm,Kungsholmen,3,72,3136,6650000,5950000,1926,8472
Stockholm,Hornstull,2,36,1880,3530000,2995000,1926,8472
Stockholm,Gärdet,1.5,36,2114,2800000,2695000,1939,8472
Solna,Solna,2,43,2401,2950000,2950000,2019,4900
Stockholm,Örby,3,81,3463,3630000,2995000,1959,4800
Stockholm,Östermalm,2,72,2081,6850000,6495000,1889,5200
Stockholm,Hägerstensåsen,2,52,3437,2800000,2495000,1942,5200
Stockholm,Södermalm,1,32,2022,3100000,2795000,1929,4200
Stockholm,Östermalm,2,34,1936,3575000,2995000,1939,4200
Stockholm,Södermalm,2,58.5,3715,4240000,3995000,2002,5880
Stockholm,Mariehäll,5,106,6285,6300000,6100000,2013,6500
Stockholm,Katarina,2,65,3466,6725000,5450000,1904,7787
Stockholm,Vasastan,2,53,2538,5100000,4500000,1896,4900
Stockholm,Bromma,3,76,3825,4800000,4800000,2018,4900
Stockholm,Vasastan,2,60,3704,6425000,6425000,2019,4900
Solna,Huvudsta,3,80,4738,4830000,4195000,2008,9257
Stockholm,Vasastan,2,44.5,2006,3800000,3395000,1926,9257
Stockholm,Kista,2,45,2728,1870000,1595000,1978,9257
Stockholm,Akalla,1,39,2701,1600000,1095000,1976,9257
Nacka,SaltsjöbadenNeglinge,1.5,43.5,2611,1780000,1675000,1961,1500
Nacka,Finntorp,2,58,3065,2925000,2850000,1951,5780
Stockholm,Spånga,4,109,6535,1695000,1695000,1968,5780
Stockholm,Vasastan,3,78,3622,6350000,5995000,1927,5780
Stockholm,Vasastan,3,72,2287,6400000,5995000,1890,5780
Stockholm,Kungsholmen,2,38,1596,2850000,2595000,1938,5760
Sundbyberg,Hallonbergen,2,58,2331,2450000,2195000,1972,3518
Stockholm,Bromma,3,69,4322,3100000,2790000,1952,7200
Stockholm,Kungsholmen,3,65,3090,4350000,3495000,1950,4800
Stockholm,Södermalm,2,50,2611,4750000,3995000,1935,7836
Stockholm,Vasastan,2,44,1541,4200000,3995000,1906,2400
Stockholm,HammarbySjöstad,3,83,4469,6725000,6000000,2014,9520
Sundbyberg,Järvastaden,3,62,3186,3345000,3095000,2012,9215
Stockholm,Gamla Stan,1,32,1772,2700000,2350000,1935,9215
Sundbyberg,Rissne,3,77,3972,2600000,2395000,1985,6000
Stockholm,Kungsholmen,2,52,2596,3375000,2895000,1939,5160
Stockholm,Södermalm,2,64,3295,6250000,5495000,1914,4300
Stockholm,Kungsholmen,1,30,2424,2950000,2295000,1934,4300
Stockholm,Vasastan,2,55,1905,5220000,4850000,1903,6096
Stockholm,Abrahamsberg,3,74,4720,5060000,4195000,1938,6096
Stockholm,Gullmarsplan,1,21,1089,2150000,1795000,1946,3600
Stockholm,Älvsjö,2,59,4036,2800000,2800000,2013,6312
Solna,Råsunda,1,36,2052,2425000,2395000,1938,6600
Nacka,Sickla,1,45,2569,2725000,1995000,1960,1800
Stockholm,Östermalm,3,71,1378,7950000,6795000,1939,1800
Stockholm,Vasastan,2,42,3058,4050000,3495000,1928,3600
Stockholm,Gärdet,1,26,1190,2800000,2395000,1939,3600
Solna,SolnaHuvudsta,2,65,3645,3000000,2495000,1973,3600
Stockholm,Aspudden,2,45,2551,3180000,2495000,1945,3600
Stockholm,Björkhagen,3,72,3629,4800000,3795000,1949,3600
Solna,Råsunda,2,32,2189,2580000,2295000,1940,4200
Solna,Råsunda,2,50,2957,3250000,2895000,1945,4000
Stockholm,Björkhagen,2,53,3204,3150000,2700000,1948,5400
Sollentuna,Edsängen,2.5,69,3995,2450000,2495000,2017,3620
Stockholm,Kista,3,83.5,4512,2300000,2300000,1978,4450
Stockholm,Sätra,3,89.5,4846,2435000,2395000,1965,7500
Solna,Råsunda,3,86,5969,4950000,4650000,2006,11280
Stockholm,HammarbySjöstad,3,77,4222,6125000,5495000,2014,11280
Solna,Huvudsta,3,80.5,4704,4450000,3895000,2008,6276
Stockholm,Östermalm,2,62,2263,7200000,5995000,1885,8556
Stockholm,Mälarhöjden,1,25,1207,1895000,1895000,1942,8556
Stockholm,Akalla,4,92,6034,2650000,2595000,1976,8556
Stockholm,Stockholm,3,65,3350,5630000,5600000,2018,8556
Stockholm,Hammarbyhöjden,2,45,2026,3100000,2495000,1939,8556
Stockholm,Sofia,2,38,2251,3500000,2795000,1933,3000
Stockholm,Bromma,2,66,2837,5150000,4495000,1924,6320
Stockholm,Vasastan,3,71,3984,7200000,6495000,1939,5050
Stockholm,Kungsholmen,1.5,32,1935,3550000,2795000,1939,5050
Stockholm,Södermalm,4,105.8,5986,7400000,7400000,2000,8400
