region,dist_to_central_st,num_of_rooms,size,fee,final_price,initial_price,year_built
Stockholm,1284,2,42.5,2641,2460000,2175000,1943
Stockholm,606,2,45,2138,4540000,3995000,1945
Stockholm,971,1,29,1636,2375000,1895000,1944
Solna,1255,3,55,3015,3695000,3695000,2019
Stockholm,441,3,77,2882,7350000,6795000,1916
Solna,1181,4,89,5221,4700000,4395000,1916
Stockholm,963,3,73,3863,4080000,3695000,1946
Stockholm,586,2,55,3553,3520000,3495000,1925
Sollentuna,1928,3,54,2809,2350000,1995000,2011
Solna,1088,3,56,2899,3600000,3195000,2017
Stockholm,1108,2,35.2,2117,3540000,2995000,1939
Stockholm,664,2,52,2965,4470000,3575000,1937
Nacka,2258,3.5,69,4403,2770000,2595000,1984
Stockholm,932,2,35,987,3900000,3295000,1905
Sollentuna,995,3,73,4134,2300000,2295000,1970
Sundbyberg,715,3,60,3273,3325000,2895000,1947
Stockholm,497,1.5,36,1534,3550000,3150000,1971
Stockholm,1815,3,67.5,3458,3520000,3495000,1985
Stockholm,1620,1,32,2350,2110000,1695000,2016
Stockholm,870,3,74,3648,6150000,5995000,2012
Solna,960,3,75.5,3768,3500000,3500000,1962
Nacka,1863,4,91,5795,2250000,2295000,1967
Stockholm,1587,2,43.7,2800,2610000,1995000,1967
Stockholm,520,2,45,2518,3300000,2995000,1992
Stockholm,658,3,72,3136,6650000,5950000,1926
Stockholm,763,2,36,1880,3530000,2995000,1926
Stockholm,764,1.5,36,2114,2800000,2695000,1939
Solna,1115,2,43,2401,2950000,2950000,2019
Stockholm,1482,3,81,3463,3630000,2995000,1959
Stockholm,434,2,72,2081,6850000,6495000,1889
Stockholm,1469,2,52,3437,2800000,2495000,1942
Stockholm,958,1,32,2022,3100000,2795000,1929
Stockholm,821,2,34,1936,3575000,2995000,1939
Stockholm,898,2,58.5,3715,4240000,3995000,2002
Stockholm,1121,5,106,6285,6300000,6100000,2013
Stockholm,475,2,65,3466,6725000,5450000,1904
Stockholm,924,2,53,2538,5100000,4500000,1896
Stockholm,1126,3,76,3825,4800000,4800000,2018
Stockholm,1225,2,60,3704,6425000,6425000,2019
Solna,510,3,80,4738,4830000,4195000,2008
Stockholm,723,2,44.5,2006,3800000,3395000,1926
Stockholm,1227,2,45,2728,1870000,1595000,1978
Stockholm,1639,1,39,2701,1600000,1095000,1976
Nacka,2733,1.5,43.5,2611,1780000,1675000,1961
Nacka,1610,2,58,3065,2925000,2850000,1951
Stockholm,1580,4,109,6535,1695000,1695000,1968
Stockholm,599,3,78,3622,6350000,5995000,1927
Stockholm,299,3,72,2287,6400000,5995000,1890
Stockholm,1369,2,38,1596,2850000,2595000,1938
Sundbyberg,838,2,58,2331,2450000,2195000,1972
Stockholm,1968,3,69,4322,3100000,2790000,1952
Stockholm,386,3,65,3090,4350000,3495000,1950
Stockholm,692,2,50,2611,4750000,3995000,1935
Stockholm,820,2,44,1541,4200000,3995000,1906
Stockholm,1012,3,83,4469,6725000,6000000,2014
Sundbyberg,1671,3,62,3186,3345000,3095000,2012
Stockholm,402,1,32,1772,2700000,2350000,1935
Sundbyberg,1363,3,77,3972,2600000,2395000,1985
Stockholm,1125,2,52,2596,3375000,2895000,1939
Stockholm,767,2,64,3295,6250000,5495000,1914
Stockholm,229,1,30,2424,2950000,2295000,1934
Stockholm,571,2,55,1905,5220000,4850000,1903
Stockholm,1457,3,74,4720,5060000,4195000,1938
Stockholm,829,1,21,1089,2150000,1795000,1946
Stockholm,1940,2,59,4036,2800000,2800000,2013
Solna,1935,1,36,2052,2425000,2395000,1938
Nacka,1311,1,45,2569,2725000,1995000,1960
Stockholm,476,3,71,1378,7950000,6795000,1939
Stockholm,1002,2,42,3058,4050000,3495000,1928
Stockholm,579,1,26,1190,2800000,2395000,1939
Solna,842,2,65,3645,3000000,2495000,1973
Stockholm,989,2,45,2551,3180000,2495000,1945
Stockholm,1132,3,72,3629,4800000,3795000,1949
Solna,1122,2,32,2189,2580000,2295000,1940
Solna,391,2,50,2957,3250000,2895000,1945
Stockholm,1290,2,53,3204,3150000,2700000,1948
Sollentuna,2993,2.5,69,3995,2450000,2495000,2017
Stockholm,1170,3,83.5,4512,2300000,2300000,1978
Stockholm,1845,3,89.5,4846,2435000,2395000,1965
Stockholm,1082,2,53,3835,2950000,2950000,1939
Solna,915,3,86,5969,4950000,4650000,2006
Stockholm,1080,3,77,4222,6125000,5495000,2014
Solna,510,3,80.5,4704,4450000,3895000,2008
Stockholm,569,2,62,2263,7200000,5995000,1885
Stockholm,1334,1,25,1207,1895000,1895000,1942
Stockholm,1739,4,92,6034,2650000,2595000,1976
Stockholm,1155,3,65,3350,5630000,5600000,2018
Stockholm,1008,2,45,2026,3100000,2495000,1939
Stockholm,1003,2,38,2251,3500000,2795000,1933
Stockholm,1643,2,66,2837,5150000,4495000,1924
Stockholm,297,3,71,3984,7200000,6495000,1939
Stockholm,556,1.5,32,1935,3550000,2795000,1939
Stockholm,1235,4,105.8,5986,7400000,7400000,2000
Stockholm,1503,2,55.5,3733,3670000,3700000,2007
Stockholm,694,4,99,4293,9350000,8350000,1951
Stockholm,725,2,43,3242,3400000,3250000,1997
Stockholm,757,2,66,3242,6000000,5495000,1926
Stockholm,759,1,34,1947,2880000,2595000,1926
Sundbyberg,1004,4,95,4287,3100000,2495000,1969
